,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
126,frozenset({'ORIENTAL BUN                  '}),frozenset({'DRY CAKE                      '}),0.04669752385279419,0.011599840981372104,0.001817355747387551,0.03891760413499543,3.3550118658947348,0.0012756718964713077,1.0284239553977435
127,frozenset({'DRY CAKE                      '}),frozenset({'ORIENTAL BUN                  '}),0.011599840981372104,0.04669752385279419,0.001817355747387551,0.15667074663402691,3.3550118658947348,0.0012756718964713077,1.1304036618465414
128,frozenset({'Dim Sum                       '}),frozenset({'MEAL SOLUTION & SPAGHETTI     '}),0.0037435635317280024,0.0015807208844464636,0.0002650310464940179,0.07079646017699115,44.78745164538181,0.00025911351743716326,1.0744893194291194
129,frozenset({'MEAL SOLUTION & SPAGHETTI     '}),frozenset({'Dim Sum                       '}),0.0015807208844464636,0.0037435635317280024,0.0002650310464940179,0.16766467065868265,44.78745164538181,0.00025911351743716326,1.196941186260442
130,frozenset({'Dim Sum                       '}),frozenset({'Poultry & Others              '}),0.0037435635317280024,0.0029532030895047705,0.00033128880811752234,0.08849557522123894,29.965963240299523,0.0003202333047298658,1.093847456804718
131,frozenset({'Poultry & Others              '}),frozenset({'Dim Sum                       '}),0.0029532030895047705,0.0037435635317280024,0.00033128880811752234,0.11217948717948718,29.965963240299523,0.0003202333047298658,1.1221372136393533
132,frozenset({'Nestle                        '}),"frozenset({""Dreyer's                      ""})",0.016403528699076176,0.003658374981069211,0.0005205966984703922,0.031736872475476054,8.675128339687177,0.00046058643947644116,1.0289988296530435
133,"frozenset({""Dreyer's                      ""})",frozenset({'Nestle                        '}),0.003658374981069211,0.016403528699076176,0.0005205966984703922,0.14230271668822767,8.675128339687177,0.00046058643947644116,1.1467874393900666
134,frozenset({'GLOBAL SOURCING KOREA         '}),frozenset({'QB UFO Pocket                 '}),0.004240496743904286,0.005196501590186279,0.00021297137664697864,0.05022321428571428,9.664812646370022,0.00019093562857410028,1.0474076787017546
135,frozenset({'QB UFO Pocket                 '}),frozenset({'GLOBAL SOURCING KOREA         '}),0.005196501590186279,0.004240496743904286,0.00021297137664697864,0.040983606557377046,9.664812646370022,0.00019093562857410028,1.03831332818157
136,frozenset({'HK STYLE DRINKS               '}),frozenset({'ORIENTAL BUN                  '}),0.0031803725579282144,0.04669752385279419,0.0010979857640466455,0.34523809523809523,7.393070697418523,0.0009494702406620207,1.455952872661187
137,frozenset({'ORIENTAL BUN                  '}),frozenset({'HK STYLE DRINKS               '}),0.04669752385279419,0.0031803725579282144,0.0010979857640466455,0.023512719164893076,7.393070697418523,0.0009494702406620207,1.020821926722462
138,frozenset({'HK STYLE DRINKS               '}),frozenset({'STIR-FRIED NOODLE/NOODLE RANGE'}),0.0031803725579282144,0.005589315462668484,0.0002461002574587309,0.07738095238095238,13.84444175638079,0.00022832415194365622,1.077812870982398
139,frozenset({'STIR-FRIED NOODLE/NOODLE RANGE'}),frozenset({'HK STYLE DRINKS               '}),0.005589315462668484,0.0031803725579282144,0.0002461002574587309,0.04403048264182896,13.844441756380792,0.00022832415194365622,1.042731603196711
140,frozenset({'House Brand Cake              '}),frozenset({'Tetra Pack                    '}),0.0026313796759048916,0.02496971073754354,0.00021297137664697864,0.08093525179856115,3.2413371804451816,0.00014726658729898243,1.0608940133658038
141,frozenset({'Tetra Pack                    '}),frozenset({'House Brand Cake              '}),0.02496971073754354,0.0026313796759048916,0.00021297137664697864,0.008529188779378317,3.2413371804451816,0.00014726658729898243,1.005948545369896
142,"frozenset({""King's                        ""})",frozenset({'INTERNATIONAL SOURCING JAPAN  '}),0.0027449644101166138,0.003213501438739967,0.00021770407390580039,0.0793103448275862,24.680351429587116,0.00020888312682460064,1.082652002182642
143,frozenset({'INTERNATIONAL SOURCING JAPAN  '}),"frozenset({""King's                        ""})",0.003213501438739967,0.0027449644101166138,0.00021770407390580039,0.06774668630338733,24.68035142958712,0.00020888312682460064,1.0697253857275368
144,frozenset({'MISC (General)                '}),frozenset({'INTERNATIONAL SOURCING JAPAN  '}),0.0002697637437528396,0.003213501438739967,0.0002555656519763744,0.9473684210526316,294.8087745136036,0.00025469876579770474,18.93894347266396
145,frozenset({'INTERNATIONAL SOURCING JAPAN  '}),frozenset({'MISC (General)                '}),0.003213501438739967,0.0002697637437528396,0.0002555656519763744,0.07952871870397643,294.8087745136036,0.00025469876579770474,1.0861069286687868
146,frozenset({'INTERNATIONAL SOURCING JAPAN  '}),frozenset({'Nestle                        '}),0.003213501438739967,0.016403528699076176,0.00022243677116462213,0.06921944035346096,4.2197896332731935,0.0001697240080897285,1.0567436772362773
147,frozenset({'Nestle                        '}),frozenset({'INTERNATIONAL SOURCING JAPAN  '}),0.016403528699076176,0.003213501438739967,0.00022243677116462213,0.013560300057703405,4.2197896332731935,0.0001697240080897285,1.0104890330544976
148,frozenset({'Nestle                        '}),frozenset({'INTERNATIONAL SOURCING KOREA  '}),0.016403528699076176,0.0028254202635165835,0.0003454868998939876,0.02106174264281593,7.454375164918651,0.00029914003751444195,1.0186286747322875
149,frozenset({'INTERNATIONAL SOURCING KOREA  '}),frozenset({'Nestle                        '}),0.0028254202635165835,0.016403528699076176,0.0003454868998939876,0.12227805695142378,7.45437516491865,0.00029914003751444195,1.1206242239821596
150,frozenset({'Internation Sourcing Japan    '}),frozenset({'Japan                         '}),0.006128842950174163,0.004822618506739361,0.00031709071634105707,0.051737451737451735,10.728083024844555,0.0002875336449046481,1.0494745187571437
151,frozenset({'Japan                         '}),frozenset({'Internation Sourcing Japan    '}),0.004822618506739361,0.006128842950174163,0.00031709071634105707,0.06575073601570165,10.728083024844553,0.0002875336449046481,1.063817971674131
152,frozenset({'Internation Sourcing Japan    '}),frozenset({'Misc                          '}),0.006128842950174163,0.009541117673784643,0.0002981599273057701,0.048648648648648644,5.0988416988416985,0.00023968391551401296,1.041107347899715
